Epoch,Training_loss
0,0.43293895991519094
1,0.13116593495942652
2,0.0920254199882038
3,0.09309730201493949
4,0.08466444129589945
5,0.07740148738957942
6,0.07858577469596639
7,0.07688395935110748
8,0.07695035240612924
9,0.07825606892583892
10,0.08136296004522592
11,0.08072371614980511
12,0.08083251130301505
13,0.08085323969135061
14,0.07404487844905816
15,0.07458225634763949
16,0.07457111909752712
17,0.07453940380946733
18,0.0743857094203122
19,0.07104115776019171
20,0.07117900758748874
21,0.0711073744460009
22,0.07106554770143703
23,0.07106813840800896
24,0.0688477898365818
25,0.06853106268681586
26,0.06849429529393092
27,0.06844909233041108
28,0.06841650221031159
29,0.06728924851631746
30,0.06719949492253363
31,0.06714103044942021
32,0.06711504503618926
33,0.06708544451976195
34,0.06652844924246892
