Epoch,Training_loss
0,0.5154724766034633
1,0.38883937476202846
2,0.29564034240320325
3,0.4028913303045556
4,0.3834720306331292
5,0.31491456436924636
6,0.4188047683564946
7,0.33983585564419627
8,0.324360606377013
9,0.3275062849279493
10,0.3087623377214186
11,0.30429410381475464
12,0.3048817769740708
13,0.30943416740046814
14,0.2992744341609068
15,0.27358796598855406
16,0.2646251036785543
17,0.2607854622765444
18,0.25214999238960445
19,0.242320831050165
20,0.23150047025410458
21,0.23317044466966763
22,0.22835486754775047
23,0.22282690758584067
24,0.21482004816061817
25,0.2113332778098993
26,0.21030554223398212
27,0.2098878054821398
28,0.20840048472746275
29,0.2033299051981885
30,0.20266153669217601
31,0.20214888555346988
32,0.20147040928713977
33,0.20056328273494728
34,0.19841058943711687
