Epoch,Training_loss
0,0.6676408571656793
1,0.46622191288042814
2,0.4389704526402056
3,0.3895096720661968
4,0.3943778915563598
5,0.555509400262963
6,0.5176646336913109
7,0.34295486519113183
8,0.4761795458034612
9,0.3654365133261308
10,0.3178733561071567
11,0.2858020792482421
12,0.2824356016062666
13,0.35377324058208615
14,0.3156186102423817
15,0.27279241918586195
16,0.2668567114160396
17,0.24674809514544904
18,0.24131210468476638
19,0.22182840475579724
20,0.2195524902199395
21,0.21829435566905886
22,0.21592375222826377
23,0.21536555280908942
24,0.2078760705771856
25,0.20570111874258146
26,0.2049883013824001
27,0.2049163139599841
28,0.20273692486807704
29,0.19983516493812203
30,0.19949412206187844
31,0.19919227130594663
32,0.1984207828354556
33,0.19815186629421078
34,0.19639454132993706
