Epoch,Training_loss
0,0.5245605885284021
1,0.3945437705842778
2,0.3966010646545328
3,0.3195734468754381
4,0.2691360681783408
5,0.27754101931350306
6,0.27191514789592475
7,0.24894416995812207
8,0.23104618047364056
9,0.2192701535532251
10,0.21745318250032142
11,0.1989898303290829
12,0.1911648833192885
13,0.18297431152313948
14,0.1807372051407583
15,0.15351313739665784
16,0.14095126482425258
17,0.13359787868103012
18,0.1331829795963131
19,0.12550451853894629
20,0.12645297299604863
21,0.12035917479079217
22,0.11803830668213777
23,0.11601470928872004
24,0.11558056008652784
25,0.1135532233165577
26,0.10947861618478782
27,0.10825522293453105
28,0.10718346771318465
29,0.10449636069824919
30,0.10449279178283177
31,0.10387238510884345
32,0.10325471812393516
33,0.10282483565970324
34,0.10178003890905529
