Epoch,Training_loss
0,0.37189019413199276
1,0.12007203057873994
2,0.09154073684476316
3,0.10795198287814856
4,0.07768799847690389
5,0.07443810533732176
6,0.0742938035982661
7,0.074446314945817
8,0.07458164403215051
9,0.07019153010332957
10,0.06863725953735411
11,0.06870851619169116
12,0.06862505036406219
13,0.06838616565801203
14,0.06510923319729045
15,0.06486328243045136
16,0.06474070297554135
17,0.06477955548325554
18,0.06472933408804238
19,0.06324537744512782
20,0.06322273501427844
21,0.06312188459560275
22,0.06308692431775853
23,0.06300589407328516
24,0.062247183930594474
25,0.06207481771707535
26,0.062008519016671926
27,0.06196038756752387
28,0.06189978902693838
29,0.06148360011866316
30,0.06142665329389274
31,0.061392282077576965
32,0.06137486870284192
33,0.06135447829728946
34,0.06109947292134166
