Epoch,Training_loss
0,0.6717412124853581
1,0.4458978788461536
2,0.4452533967560157
3,0.4038418489508331
4,0.3432284878799692
5,0.3233422915218398
6,0.3103684099041857
7,0.3136503726709634
8,0.3361642814707011
9,0.25798334600403905
10,0.2510192494955845
11,0.2390033343108371
12,0.23808027058839798
13,0.26227983651915565
14,0.24954900267766789
15,0.21559121194877662
16,0.2121012575516943
17,0.2079356698668562
18,0.21240928146289662
19,0.20424879941856489
20,0.19839449695427902
21,0.19444870279403403
22,0.1923188968503382
23,0.19322292663855478
24,0.18487599131185561
25,0.18262842073454522
26,0.1816333947062958
27,0.18078145803883672
28,0.1800305373617448
29,0.17807011876720935
30,0.17717632692074403
31,0.17655753114377148
32,0.17609271212131716
33,0.1756637099024374
34,0.1745902693073731
