Epoch,Training_loss
0,0.5272682122886181
1,0.42201203969307244
2,0.3942607428180054
3,0.36297645431477576
4,0.3398253930499777
5,0.38286018557846546
6,0.2959480381105095
7,0.26341594313271344
8,0.2491831366205588
9,0.23181436059530824
10,0.22541356162400916
11,0.21278081607306376
12,0.20771497272653505
13,0.2117509560775943
14,0.19407056286581792
15,0.18537915451452136
16,0.17604665405815467
17,0.17152004872332327
18,0.16858566587325186
19,0.15979476406937465
20,0.15483122458681464
21,0.1537400476518087
22,0.15214061355800368
23,0.15118515028734691
24,0.1484717563726008
25,0.14817615963693243
26,0.1473632841662038
27,0.14650412125047296
28,0.1455484022735618
29,0.14390354677743744
30,0.14351339978748
31,0.14329649433784653
32,0.14297368041297887
33,0.14273706638778094
34,0.14184834370098542
