Epoch,Training_loss
0,0.34907682542689145
1,0.17797532700933516
2,0.12192370183765888
3,0.09828612353885546
4,0.08171221916563809
5,0.08126043854281306
6,0.0804931380553171
7,0.08178428222890943
8,0.08020002249395475
9,0.0754169545834884
10,0.07564534491393715
11,0.07531668673618697
12,0.07618995558004826
13,0.0753105592157226
14,0.07118333003018051
15,0.07164119012304582
16,0.07194388067000546
17,0.07201874229940586
18,0.07197768386686221
19,0.07034876049146987
20,0.06973168172407895
21,0.06972745823441073
22,0.06965440552448854
23,0.06965392612619326
24,0.0685690458631143
25,0.06814558198675513
26,0.0681084263487719
27,0.06808106196695007
28,0.06805225167772733
29,0.06736458555678837
30,0.06727439889800735
31,0.0672325782943517
32,0.06719492620322853
33,0.06718213291605935
34,0.06684106687316671
