Epoch,Training_loss
0,0.6251035407185555
1,0.5143205130007118
2,0.4422655013622716
3,0.38968592532910407
4,0.3425897068809718
5,0.3217493341071531
6,0.2991615528007969
7,0.29506848560413346
8,0.29328079684637487
9,0.2759350306587294
10,0.2646189592196606
11,0.2536335401237011
12,0.2509704981930554
13,0.24363469949457794
14,0.24696356832282618
15,0.2395206418586895
16,0.23232964071212336
17,0.22587245528120548
18,0.2235312014236115
19,0.21492861554725096
20,0.2130950855789706
21,0.20948293746914715
22,0.2070149410283193
23,0.20575584121979773
24,0.20099176524672657
25,0.1994603119092062
26,0.19856833072844893
27,0.19785863859578967
28,0.19685194111661986
29,0.19502076966455206
30,0.19459803454810753
31,0.19413052790332586
32,0.1937755341641605
33,0.1934328774223104
34,0.19248012063326314
