Epoch,Training_loss
0,0.4828696995973587
1,0.43154438212513924
2,0.3718662397004664
3,0.40418427844997495
4,0.3431205847300589
5,0.31514621526002884
6,0.29354180820519105
7,0.29192862566560507
8,0.34390367090236396
9,0.32270473265089095
10,0.30434531427454203
11,0.25574392813723534
12,0.24529497569892555
13,0.24471549692680128
14,0.2422411473817192
15,0.23129097610944882
16,0.22349254600703716
17,0.2149223668675404
18,0.2193673670408316
19,0.2110239369503688
20,0.20446985878515989
21,0.19964659091783687
22,0.19593084475491196
23,0.1949400900339242
24,0.18945637604338117
25,0.18854219678905793
26,0.18763900545309298
27,0.18697536250692792
28,0.1861671624938026
29,0.1839969038264826
30,0.18356840696651489
31,0.18328082596417516
32,0.182940288897953
33,0.18261759862070903
34,0.1815699697472155
